game_date,game_datetime,game_pk,game_type,status,venue_id,venue_name,home_team_id,home_team_name,home_abbrev,away_team_id,away_team_name,away_abbrev,home_score,away_score,home_win,home_sp_id,home_sp_name,away_sp_id,away_sp_name,home_sp_throws,away_sp_throws,home_SP_days_rest,away_SP_days_rest,home_SP_laststart_IP,away_SP_laststart_IP,home_BP_IP_d1,away_BP_IP_d1,BP_IP_d1_diff,home_BP_IP_d3,away_BP_IP_d3,BP_IP_d3_diff,weather_temp_f,weather_wind_mph,weather_wind_dir,weather_condition,plate_umpire_id,plate_umpire_name,Home_DaysSinceLast,Away_DaysSinceLast,Home_B2B,Away_B2B,home_BP_HiLevIP_d3,away_BP_HiLevIP_d3,BP_HiLevIP_d3_diff,home_CloserAvail,away_CloserAvail,home_lineup_L_cnt,home_lineup_R_cnt,away_lineup_L_cnt,away_lineup_R_cnt,Lineup_L_cnt_diff,Lineup_R_cnt_diff,home_top4_hitters,away_top4_hitters,Top4_hitters_diff,home_lineup_PA7,away_lineup_PA7,Lineup_PA7_diff,_season,gdate,Park_HRFactor_season,venue_tz,home_team_name_FirstAfterOff,home_team_name_TZChange,home_team_name_3in3,away_team_name_FirstAfterOff,away_team_name_TZChange,away_team_name_3in3,TZChange_diff,FirstAfterOff_diff,ThreeInThree_diff,home_lineup_woba_vsHand,away_lineup_woba_vsHand,Lineup_woba_vsHand_diff,home_SP_KminusBB,away_SP_KminusBB,home_SP_FIP,away_SP_FIP,home_SP_xFIP,away_SP_xFIP,home_SP_FB,away_SP_FB,home_SP_FB_rate,away_SP_FB_rate,SP_KminusBB_diff,SP_FIP_diff,SP_xFIP_diff,SP_FB_rate_diff,Wind_Out_flag,Wind_In_flag,INT_WindOut__ParkHR,INT_WindIn__ParkHR,INT_WindOut__SPFB,home_BP_IP_lastN,away_BP_IP_lastN,BP_IP_lastN_diff,home_BP_xFIP_lastN,away_BP_xFIP_lastN,BP_xFIP_lastN_diff,home_BP_xFIP_season,away_BP_xFIP_season,BP_xFIP_season_diff,_runs,Park_RunFactor_season,Park_RunFactor_diff,Park_Friendly_flag,home_lineup_woba_vsHand_season,away_lineup_woba_vsHand_season,Lineup_woba_vsHand_season_diff,game_id,Team_RunDiffpg_diff,Team_WinPct_diff,Team_LastN_WinPct_diff,Team_Elo_diff,Home_STG_RunDiffpg,Away_STG_RunDiffpg,Home_STG_WinPct,Away_STG_WinPct,Home_LastN_WinPct,Away_LastN_WinPct,INT_SPxFIPdiff__Park,INT_SPKBBdiff__Park,INT_LineupVsHand__SPKBB,INT_LineupSeason__SPxFIP,INT_LastN__Elo,INT_BP_IPxQual_lastN,INT_BP_YdayIPxQual,INT_Wind__Park,INT_Temp__Park,INT_RestDiff__Elo,ABS_SP_xFIP_diff,SQ_SP_xFIP_diff,ABS_SP_FIP_diff,SQ_SP_FIP_diff,ABS_SP_KminusBB_diff,SQ_SP_KminusBB_diff,ABS_Lineup_woba_vsHand_diff,SQ_Lineup_woba_vsHand_diff,ABS_Team_RunDiffpg_diff,SQ_Team_RunDiffpg_diff,ABS_Team_WinPct_diff,SQ_Team_WinPct_diff,ABS_Team_Elo_diff,SQ_Team_Elo_diff,ABS_BP_xFIP_lastN_diff,SQ_BP_xFIP_lastN_diff,ABS_BP_xFIP_season_diff,SQ_BP_xFIP_season_diff,INT_SPxFIP__WOBAvsHand,INT_WinPct__Elo,INT_KBB__WOBAvsHand,Team_WinPct_diff__sq,Team_Elo_diff__sq,SP_xFIP_diff__sq,SP_KminusBB_diff__sq,Team_WinPct_diff__z_m,Team_Elo_diff__z_m,Lineup_woba_vsHand_diff__z_m,SP_xFIP_diff__z_m,SP_KminusBB_diff__z_m
2025-09-11,2025-09-12 01:40:00+00:00,776362,R,Final,680,T-Mobile Park,136,Seattle Mariners,SEA,108,Los Angeles Angels,LAA,7,6,1,682243.0,Bryce Miller,667755,José Soriano,R,R,5.0,6.0,5.333333333333333,2.333333333333333,55605.333333333336,40100.0,15505.333333333336,354993.0,327519.0,27474.0,67.0,0.0,Calm,Cloudy,483912,Mike Muchlinski,1.0,1.0,0.0,0.0,20993.33333333333,16606.666666666668,4386.666666666664,0.0,0.0,8,6,3,9,5,-3,4,4,0,246.0,201.0,45.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3357142857142857,0.2951298701298701,0.0405844155844155,2.4242424242424248,3.551912568306011,3.796875,1.7419354838709675,0.4910156249999997,-0.2458064516129031,15.0,8.0,0.0454545454545454,0.0218579234972677,-1.127670144063586,2.054939516129032,0.7368220766129029,0.0235966219572776,0.0,0.0,0.0,0.0,0.0,234.66666666666663,235.3333333333333,-0.6666666666666856,-0.1110511363636363,1.0883498583569404,-1.1994009947205768,0.2009655361050326,0.7022494305239179,-0.5012838944188852,13,1.0000202712886699,2.0271288669770904e-05,0,0.3775392986698911,0.3372852953498115,0.0402540033200796,776362,0.0333333333333332,0.0416666666666666,0.0,10.0,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,-0.0457658337688143,0.0296600383182837,22.01958662460552,0.7996006631470739,-18597.11222347412,5.005396976066174,74.81027841600215,0.0,0.7368220766129029,0.5429067725841505,2.054939516129032,4.22277641494862,1.127670144063586,1.271639953812389,0.0405844155844155,0.0016470947883285,2.625,6.890625,0.3,0.09,10.0,100.0,1.1994009947205768,1.4385627461367092,0.5012838944188852,0.2512855428037641,0.029903493369030087,0.416666666666666,-0.04576583376881427,0.0017361111111111058,100.0,0.5429067725841505,1.2716399538123886,-0.00857002055675372,0.0690962137171715,0.5661787337345492,0.5840244946884143,-0.4086230504439796
2025-09-11,2025-09-11 18:10:00+00:00,776364,R,Final,4,Rate Field,145,Chicago White Sox,CWS,139,Tampa Bay Rays,TB,5,1,1,681343.0,Shane Smith,693855,Ian Seymour,R,L,6.0,11.0,5.0,5.0,38763.333333333336,38763.333333333336,0.0,211839.0,202440.0,9399.0,74.0,9.0,L To R,Sunny,485856,Jonathan Parra,1.0,1.0,0.0,0.0,9870.0,6893.333333333333,2976.666666666667,0.0,0.0,5,5,7,3,-2,2,4,4,0,160.0,153.0,7.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3331081081081081,0.3292452830188679,0.0038628250892402,3.253796095444686,6.010928961748634,1.6363636363636365,0.2459016393442623,0.5838068181818182,-0.933688524590164,25.0,11.0,0.054229934924078,0.0300546448087431,-2.7571328663039485,1.390461997019374,1.5174953427719822,0.0241752901153349,0.0,0.0,0.0,0.0,0.0,235.3333333333333,217.66666666666663,17.666666666666686,0.679674220963173,-0.3160336906584993,0.9957079116216724,0.8476809537326143,0.103590145257761,0.7440908084748533,6,1.0000202712886699,2.0271288669770904e-05,0,0.3224598930481284,0.3694617563739377,-0.0470018633258093,776364,0.0333333333333332,0.0416666666666666,0.0,8.430064953105102,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,-0.0106503220103277,-0.0713251086985209,22.01958662460552,17.590839771982896,0.0,5.005396976066174,74.81027841600215,0.0,1.5174953427719822,2.302792115334656,1.390461997019374,1.933384565155106,2.7571328663039485,7.601781642453426,0.0038628250892402,1.4921417670063872e-05,2.625,6.890625,0.3,0.09,8.430064953105102,71.06599511357093,0.9957079116216724,0.991434245265992,0.7440908084748533,0.5536711312567608,0.0058618190828647705,0.3512527063793787,-0.010650322010327638,0.0017361111111111058,71.06599511357093,2.3027921153346558,7.601781642453426,-0.00857002055675372,0.05110538973454842,-0.05321130087673921,1.1588875503330365,-0.9922421518414549
2025-09-11,2025-09-12 01:40:00+00:00,776365,R,Final,2680,Petco Park,135,San Diego Padres,SD,115,Colorado Rockies,COL,2,0,1,681190.0,Randy Vásquez,685326,McCade Brown,R,R,5.0,5.0,6.0,1.6666666666666663,40100.0,36624.66666666666,3475.333333333336,307275.0,292092.0,15183.0,72.0,7.0,L To R,Partly Cloudy,503077,Adam Hamari,1.0,1.0,0.0,0.0,18016.666666666668,9086.666666666666,8930.000000000002,0.0,0.0,5,5,3,6,2,-1,4,4,0,208.0,166.0,42.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3264808362369338,0.3374581939799331,-0.0109773577429993,4.444444444444444,-0.4926108374384237,0.2222222222222222,5.035714285714286,-0.3122222222222223,3.56625,6.0,9.0,0.0444444444444444,0.0443349753694581,4.937055281882867,-4.813492063492063,-3.878472222222221,0.0001094690749863,0.0,0.0,0.0,0.0,0.0,233.0,240.3333333333333,-7.333333333333343,0.3425965665236054,0.9780582524271842,-0.6354616859035789,0.4139425513939737,1.021465394474509,-0.607522843080535,2,1.0000202712886699,2.0271288669770904e-05,0,0.3703100031959092,0.3452938758734073,0.0250161273225019,776365,0.0333333333333332,0.0416666666666666,0.0,10.0,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,-0.0541958220261927,-0.097024354927898,22.01958662460552,4.660052363292918,-2208.441179076906,5.005396976066174,74.81027841600215,0.0,3.878472222222221,15.042546778549376,4.813492063492063,23.16970584530108,4.937055281882867,24.37451485636752,0.0109773577429993,0.0001205023830177,2.625,6.890625,0.3,0.09,10.0,100.0,0.6354616859035789,0.4038115542514187,0.607522843080535,0.3690840048646563,0.042575377079618795,0.416666666666666,-0.05419582202619248,0.0017361111111111058,100.0,15.042546778549372,24.37451485636752,-0.00857002055675372,0.0690962137171715,-0.30352348055496836,-2.8145319800082915,1.7635589547060455
2025-09-11,2025-09-11 22:40:00+00:00,776367,R,Final,4169,loanDepot park,146,Miami Marlins,MIA,120,Washington Nationals,WSH,5,0,1,677960.0,Ryan Weathers,669022,MacKenzie Gore,L,L,96.0,16.0,3.0,5.0,37961.333333333336,39298.0,-1336.6666666666642,352824.0,311613.0,41211.0,72.0,0.0,,Roof Closed,427113,Laz Diaz,1.0,1.0,0.0,0.0,13630.0,19426.666666666668,-5796.666666666668,0.0,0.0,3,7,5,7,-2,0,4,4,0,175.0,178.0,-3.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3428191489361702,0.2880281690140845,0.0547909799220857,3.253796095444686,2.464788732394366,1.6363636363636365,1.5333333333333334,0.4910156249999997,1.2560000000000002,0.0,16.0,0.0454545454545454,0.056338028169014,-1.127670144063586,1.390461997019374,0.7368220766129029,0.0235966219572776,0.0,0.0,0.0,0.0,0.0,246.0,232.66666666666663,13.333333333333345,0.6793089430894309,0.8658094555873923,-0.1865005124979614,0.6416969696969695,0.8115564037319761,-0.1698594340350065,5,1.0000202712886699,2.0271288669770904e-05,0,0.3209476309226933,0.2824961948249619,0.0384514360977313,776367,0.0333333333333332,0.0416666666666666,0.0,8.430064953105102,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,-0.0457658337688143,-0.0713251086985209,22.01958662460552,-2.4866734999728206,249.28901837227463,5.005396976066174,74.81027841600215,0.0,1.5174953427719822,2.302792115334656,2.054939516129032,4.22277641494862,2.7571328663039485,7.601781642453426,0.0547909799220857,0.0030020514808223,2.625,6.890625,0.3,0.09,8.430064953105102,71.06599511357093,0.1865005124979614,0.0347824411620022,0.1698594340350065,0.0288522273306927,0.040371203605847054,0.3512527063793787,-0.06178615222212343,0.0017361111111111058,71.06599511357093,0.5429067725841505,1.2716399538123886,-0.00857002055675372,0.05110538973454842,0.8058035500390924,0.5840244946884143,-0.4086230504439796
2025-09-11,2025-09-11 23:05:00+00:00,776368,R,Final,3313,Yankee Stadium,147,New York Yankees,NYY,116,Detroit Tigers,DET,9,3,1,693645.0,Cam Schlittler,663947,Tyler Holton,R,L,6.0,71.0,1.6666666666666663,2.0,46783.333333333336,43308.0,3475.333333333336,258834.0,206055.0,52779.0,75.0,8.0,L To R,Clear,427164,Andy Fletcher,1.0,1.0,0.0,0.0,13630.0,8616.666666666666,5013.333333333334,0.0,0.0,4,5,6,6,-2,-1,3,4,-1,141.0,181.0,-40.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3584507042253521,0.3094202898550724,0.0490304143702796,4.966139954853273,1.324503311258278,-1.135135135135135,1.5,-0.3604054054054054,0.545892857142857,14.0,3.0,0.0316027088036117,0.0198675496688741,3.641636643594995,-2.635135135135135,-0.9062982625482624,0.0117351591347375,0.0,0.0,0.0,0.0,0.0,231.3333333333333,228.3333333333333,3.0,0.2720749279538907,0.2899708029197079,-0.0178958749658172,0.3471452190686142,0.1692438402718775,0.1779013787967366,12,1.0000202712886699,2.0271288669770904e-05,0,0.3927272727272727,0.3481925675675676,0.0445347051597051,776368,0.0333333333333332,0.0416666666666666,0.0,10.0,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,0.178550953621457,-0.0403617259093399,22.01958662460552,-0.0536876248974517,-62.194130797870216,5.005396976066174,74.81027841600215,0.0,0.9062982625482624,0.8213765406979989,2.635135135135135,6.943937180423666,3.641636643594995,13.261517443973824,0.0490304143702796,0.0024039815333213,2.625,6.890625,0.3,0.09,10.0,100.0,0.0178958749658172,0.0003202623407921,0.1779013787967366,0.0316489005777799,-0.04443617935580576,0.416666666666666,0.17855095362145681,0.0017361111111111058,100.0,0.8213765406979991,13.261517443973823,-0.00857002055675372,0.0690962137171715,0.7086389978396835,-0.6259172567555744,1.2995832826688016
2025-09-11,2025-09-11 19:07:00+00:00,776369,R,Final,14,Rogers Centre,141,Toronto Blue Jays,TOR,117,Houston Astros,HOU,6,0,1,592332.0,Kevin Gausman,664299,Cristian Javier,R,R,6.0,7.0,8.0,4.333333333333333,40367.333333333336,33684.0,6683.333333333336,220515.0,202440.0,18075.0,72.0,8.0,Out To CF,Sunny,605672,Jeremie Rehak,1.0,1.0,0.0,0.0,12220.0,13786.666666666666,-1566.666666666666,0.0,0.0,5,5,3,6,2,-1,4,4,0,140.0,194.0,-54.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3340163934426229,0.3285171102661596,0.0054992831764633,4.631578947368421,2.158273381294964,0.402061855670103,0.8478260869565217,-0.277422680412371,1.1572826086956525,22.0,13.0,0.0463157894736842,0.0467625899280575,2.4733055660734573,-0.4457642312864187,-1.4347052891080234,-0.0004468004543733,1.0,0.0,0.0,0.0,-0.0004468004543733,228.0,243.0,-15.0,0.2793201754385963,0.3788683127572019,-0.0995481373186056,0.4139425513939737,0.1083172667989795,-0.1698594340350065,6,1.0000202712886699,2.0271288669770904e-05,0,0.3642164781906301,0.3378928217002976,0.0263236564903324,776369,0.0333333333333332,0.0416666666666666,0.0,10.0,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,0.0136014076897608,-0.0377666891953426,22.01958662460552,1.4932220597790844,-665.3133844126811,5.005396976066174,74.81027841600215,0.0,1.4347052891080234,2.058379266594537,0.4457642312864187,0.1987057498943717,2.4733055660734573,6.117240423169945,0.0054992831764633,3.024211545493239e-05,2.625,6.890625,0.3,0.09,10.0,100.0,0.0995481373186056,0.0099098316436039,0.5012838944188852,0.2512855428037641,-0.00788985065957467,0.416666666666666,0.013601407689760803,0.0017361111111111058,100.0,2.058379266594537,6.117240423169945,-0.00857002055675372,0.0690962137171715,-0.025608851810209467,-1.015019447236291,0.8811261284846493
2025-09-11,2025-09-11 23:15:00+00:00,776370,R,Final,5,Progressive Field,114,Cleveland Guardians,CLE,118,Kansas City Royals,KC,3,2,1,668909.0,Gavin Williams,663568,Stephen Kolek,R,R,6.0,5.0,7.0,7.0,40367.333333333336,38496.0,1871.333333333336,288477.0,325350.0,-36873.0,71.0,5.0,In From CF,Clear,427093,Phil Cuzzi,1.0,1.0,0.0,0.0,17390.0,10340.0,7050.0,0.0,0.0,10,0,4,8,6,-8,4,4,0,213.0,197.0,16.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3172473867595818,0.2908450704225352,0.0264023163370466,2.863436123348017,3.614457831325301,2.0259740259740258,-0.8461538461538461,0.3975974025974025,0.2038461538461537,17.0,10.0,0.0374449339207048,0.0602409638554216,-0.7510217079772836,2.872127872127872,0.1937512487512487,-0.0227960299347168,0.0,1.0,0.0,0.0,-0.0,240.0,233.0,7.0,0.3312916666666666,0.4751716738197421,-0.1438800071530754,0.554033086138049,0.2832267842380818,0.2708063018999672,5,1.0000202712886699,2.0271288669770904e-05,0,0.3306892332789559,0.3556031843233312,-0.0249139510443753,776370,0.0333333333333332,0.0416666666666666,0.0,8.430064953105102,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,-0.0198287127100053,-0.0048271091261751,22.01958662460552,-1.0071600500715283,-269.2474533857889,5.005396976066174,74.81027841600215,0.0,0.1937512487512487,0.0375395463926682,2.872127872127872,8.249118513853778,0.7510217079772836,0.5640336058531162,0.0264023163370466,0.0006970823079614,2.625,6.890625,0.3,0.09,8.430064953105102,71.06599511357093,0.1438800071530754,0.020701456458369,0.2708063018999672,0.0733360531487361,0.005115481760228273,0.3512527063793787,-0.01982871271000528,0.0017361111111111058,71.06599511357093,0.037539546392668245,0.5640336058531162,-0.00857002055675372,0.05110538973454842,0.3269665747502406,0.18412434558763882,-0.27372016570095176
2025-09-11,2025-09-11 23:15:00+00:00,776371,R,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,121,New York Mets,NYM,6,4,1,666200.0,Jesús Luzardo,656849,David Peterson,L,L,5.0,6.0,6.0,5.333333333333333,40902.0,42238.66666666666,-1336.6666666666642,326796.0,324627.0,2169.0,75.0,7.0,In From CF,Clear,521889,Stu Scheurwater,1.0,1.0,0.0,0.0,17076.666666666668,11436.666666666666,5640.000000000002,0.0,0.0,3,6,4,6,-1,0,4,4,0,180.0,189.0,-9.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3317391304347826,0.3617021276595745,-0.0299629972247918,5.870020964360586,3.255813953488372,-0.4698795180722891,-0.5753424657534247,-0.5709036144578313,0.0417123287671233,17.0,11.0,0.0356394129979035,0.0255813953488372,2.614207010872214,0.1054629476811356,-0.6126159432249546,0.0100580176490663,0.0,1.0,0.0,0.0,0.0,239.3333333333333,240.3333333333333,-1.0,-0.0377298050139277,0.207857142857143,-0.2455869478710707,0.0121087866108788,0.3040202604920406,-0.2919114738811617,10,1.0000202712886699,2.0271288669770904e-05,0,0.3408409658617819,0.3429941618015013,-0.0021531959397193,776371,0.0333333333333332,0.0416666666666666,0.0,10.0,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,-0.0783294774117955,0.0013190821615593,22.01958662460552,0.2455869478710707,328.2678869876639,5.005396976066174,74.81027841600215,0.0,0.6126159432249546,0.3752982938934008,0.1054629476811356,0.0111224333335939,2.614207010872214,6.834078295693437,0.0299629972247918,0.0008977812026928,2.625,6.890625,0.3,0.09,10.0,100.0,0.2455869478710707,0.060312948964628,0.2919114738811617,0.0852123085834721,0.018355809806712527,0.416666666666666,-0.07832947741179543,0.0017361111111111058,100.0,0.3752982938934008,6.834078295693437,-0.00857002055675372,0.0690962137171715,-0.6237578641198614,-0.4096589028534002,0.9315923180308538
2025-09-11,2025-09-11 17:05:00+00:00,776372,R,Final,2,Oriole Park at Camden Yards,110,Baltimore Orioles,BAL,134,Pittsburgh Pirates,PIT,3,2,1,700249.0,Cade Povich,670912,Johan Oviedo,L,R,8.0,6.0,5.0,5.0,43308.0,37694.0,5614.0,226299.0,215454.0,10845.0,75.0,5.0,In From LF,Partly Cloudy,427554,Jim Wolf,1.0,1.0,0.0,0.0,21306.666666666668,14570.0,6736.666666666668,0.0,0.0,6,4,4,9,2,-5,4,4,0,147.0,196.0,-49.0,2025,2025-09-11,0.999544896008738,,0,0,0,0,0,0,0,0,0,0.3041825095057034,0.2927272727272726,0.0114552367784307,4.2492917847025495,4.561403508771929,1.5,0.75,-0.2810000000000002,0.3077678571428573,12.0,13.0,0.0339943342776204,0.0456140350877193,-0.3121117240693793,0.75,-0.5887678571428576,-0.0116197008100989,0.0,1.0,0.0,0.0,-0.0,246.3333333333333,224.0,22.333333333333343,0.1652232746955344,0.1673883928571428,-0.0021651181616084,0.454038626609442,0.3187489397794744,0.1352896868299676,5,1.0000202712886699,2.0271288669770904e-05,0,0.3505245901639344,0.3488651535380507,0.0016594366258836,776372,0.0333333333333332,0.0416666666666666,0.0,8.430064953105102,0.19375,0.0,0.5,0.4666666666666667,0.5,0.5,-0.1292772229199593,0.1524216670301308,-0.0035753137005389,-0.0009770229462859,22.01958662460552,-0.0483543056092546,-12.15497335926964,5.005396976066174,74.81027841600215,0.0,0.5887678571428576,0.3466475896045924,0.75,0.5625,0.3121117240693793,0.0974137283015604,0.0114552367784307,0.0001312224496499,2.625,6.890625,0.3,0.09,8.430064953105102,71.06599511357093,0.0021651181616084,4.687736653726602e-06,0.1352896868299676,0.0183032993625507,-0.006744475211100696,0.3512527063793787,-0.0035753137005389685,0.0017361111111111058,71.06599511357093,0.3466475896045924,0.09741372830156036,-0.00857002055675372,0.05110538973454842,0.07485134770512761,-0.39209792794787973,-0.11651727489132344
2025-09-12,2025-09-13 00:10:00+00:00,776356,R,Final,32,American Family Field,158,Milwaukee Brewers,MIL,138,St. Louis Cardinals,STL,8,2,1,682990.0,Quinn Priester,669467,Andre Pallante,R,R,7.0,6.0,7.0,6.0,0.0,0.0,0.0,182336.0,185888.0,-3552.0,69.0,9.0,L To R,Partly Cloudy,665297,Tom Hanahan,1.0,1.0,0.0,0.0,5920.0,16576.0,-10656.0,1.0,1.0,6,5,5,5,1,0,4,4,0,219.0,154.0,65.0,2025,2025-09-12,0.9991694352159468,,0,0,0,0,0,0,0,0,0,0.3519174041297935,0.2868085106382979,0.0651088934914956,3.089887640449438,2.569593147751606,0.75,2.08,-0.0357352941176471,0.8736000000000002,6.0,16.0,0.0168539325842696,0.0342612419700214,0.5202944926978321,-1.33,-0.9093352941176474,-0.0174073093857517,0.0,0.0,0.0,0.0,-0.0,244.3333333333333,227.3333333333333,17.0,0.0478240109140516,0.5424633431085041,-0.4946393321944524,0.305099915564312,0.4233663793103448,-0.1182664637460328,10,0.9994808970099668,-0.0005191029900333,0,0.3575393291777975,0.3436356242374949,0.0139037049403026,776356,2.5,0.5,0.5,8.430064953105102,1.0,-1.0,1.0,0.0,1.0,0.0,0.3988251575903708,-1.5619343643439405,0.0338757987092749,-0.012643129621215,22.361589296155216,-8.408868647305692,-0.0,3.008253737541528,70.19258720930232,0.0,0.9093352941176474,0.8268906771280282,1.33,1.7689,0.5202944926978321,0.2707063591316945,0.0651088934914956,0.0042391680116869,3.5,12.5,0.5,0.5,8.430064953105102,71.06599511357093,0.4946393321944524,0.2446680689537738,0.1182664637460328,0.0139869564469916,-0.05920581481276372,4.215032476552551,0.03387579870927489,0.25,71.06599511357093,0.8268906771280282,0.2707063591316945,0.9425411657599717,0.05110538973454842,0.9798377559843044,-0.6281536305674452,0.18162281852511877
